Address,Area,Rent,Latitude,Longitude
"6100 FINCH AVE W E105, Toronto ON",1565 ,35 ,None,None
"1576 KINGSTON RD, Toronto ON",1748 ,2700,43.6904452,-79.2669104
"473 COSBURN AVE Bsmnt, Toronto ON",250 ,675,43.6926665,-79.3337886
"#2-3 -200 QUEENS QUAY E 2-3, Toronto ON",2398 ,5 ,43.6462692,-79.3631878
"2409 YONGE ST G8, Toronto ON",3701 ,35 ,43.7104084,-79.3986602
"2252 QUEEN ST E Main Fl, Toronto ON",1750 ,39.8 ,None,None
"1061 EGLINTON AVE W, Toronto ON",3000 ,9210,43.6990639,-79.4334012
"108 CORPORATE DR 7, Toronto ON",250 ,1100,43.780773,-79.2474937
"461 QUEEN ST E, Toronto ON",2400 ,4900,43.6564489,-79.359767
"252 GERRARD ST E, Toronto ON",820 ,35 ,43.6620991,-79.369325
"406 PACIFIC AVE Main Fl, Toronto ON",1785 ,30 ,43.665778,-79.468824
"426 PARLIAMENT ST, Toronto ON",1300 ,25 ,43.6628884,-79.3677225
"5215 FINCH AVE E 263, Toronto ON",228 ,1200,43.8096132,-79.2570082
"284 RICHMOND ST E, Toronto ON",2950 ,19 ,43.653486,-79.3698126
"3901 DON MILLS RD, Toronto ON",885 ,18,43.807767,-79.3570578
"2409 YONGE ST G5, Toronto ON",5465 ,25 ,43.7104084,-79.3986602
"2589 EGLINTON AVE W, Toronto ON",2000 ,2850,43.6903115,-79.473815
"4675 Steeles Ave E 2E18&19, Toronto ON",0.005 ,1100,43.8239696,-79.302473
"3199 YONGE ST, Toronto ON",2400 ,8300,43.7277243,-79.4025697
"100 Western Battery Rd 3, Toronto ON",0.024 ,12500,43.6396604,-79.4157701
"4466 SHEPPARD AVE E 105, Toronto ON",20500 ,15 ,43.7889675,-79.2668741
"92 PARK LAWN RD Main, Toronto ON",2674 ,9950,43.6245958,-79.4850611
"203 MARKHAM RD, Toronto ON",1425 ,2800,43.7437826,-79.2188905
"371 WILSON AVE Comm, Toronto ON",1000 ,3900,43.7364272,-79.4372039
"1272 DANFORTH AVE, Toronto ON",1000 ,2300,43.6820226,-79.3305061
"828 COLLEGE ST, Toronto ON",1569 ,3300,43.6546128,-79.4224791
"1094 COLLEGE ST, Toronto ON",5000 ,15,43.6527611,-79.4321434
"2761 MARKHAM RD C26, Toronto ON",1336 ,3000,43.8213424,-79.2463043
"1700 St. Clair Ave W, Toronto ON",0.148 ,2000,43.6746359,-79.4592329
"8 MIMICO AVE Main, Toronto ON",1100 ,3500,43.6139127,-79.4897882
"4750 YONGE ST 124-126, Toronto ON",1268 ,55 ,None,None
"6951 STEELES AVE W, Toronto ON",1000 ,7200,43.752845,-79.624081
"941 KINGSTON RD, Toronto ON",2670 ,29 ,43.6803081,-79.2879897
"1420 KENNEDY RD 1A, Toronto ON",1989 ,30 ,43.7638464,-79.2811425
"200 QUEENS QUAY E 2-1, Toronto ON",2460 ,5 ,43.6462692,-79.3631878
"261 QUEEN ST W, Toronto ON",800 ,2700,43.6501596,-79.3891031
"320 RICHMOND ST E 104, Toronto ON",1056 ,45 ,43.6540596,-79.3691202
"473 COSBURN AVE Bsmnt, Toronto ON",250 ,675,43.6926665,-79.3337886
"3785 KINGSTON RD B3, Toronto ON",1159 ,1800,43.7472909,-79.2076192
"226 CARLTON ST Main, Toronto ON",800 ,3900,43.6642046,-79.3693313
"3445 SHEPPARD AVE E, Toronto ON",3500 ,28,43.7787273,-79.3061376
"248 SPADINA AVE, Toronto ON",2320 ,65 ,43.6515848,-79.3978437
"1405 GERRARD ST E, Toronto ON",1164 ,2900,43.6718605,-79.3233489
"1275 FINCH AVE W 403, Toronto ON",840 ,19.5 ,43.7639352,-79.4875255
"2418 Danforth Ave Main, Toronto ON",0.023 ,2500,43.6876601,-79.304902
"3060 Dundas St W, Toronto ON",0.023 ,2600,43.6656718,-79.471597
"941B KINGSTON RD, Toronto ON",1175 ,25 ,43.6803081,-79.2879897
"200 QUEENS QUAY E 302, Toronto ON",4136 ,5 ,43.6462692,-79.3631878
"384 YONGE ST 48, Toronto ON",710 ,2490,43.6596017,-79.3826697
"85 CHURCH ST, Toronto ON",2416 ,50 ,43.6517127,-79.3748594
"226 CARLTON ST Bsmt, Toronto ON",1300 ,3300,43.6642046,-79.3693313
"2351A KINGSTON RD, Toronto ON",1500 ,25 ,43.7074474,-79.2497843
"2409 YONGE ST G8, Toronto ON",3701 ,35 ,43.7104084,-79.3986602
"1792 WESTON RD Main Fl, Toronto ON",1100 ,3500,43.6986856,-79.5128407
"3331 MARKHAM RD 104, Toronto ON",485 ,2300,43.8350258,-79.2508593
"240 ALTON TOWERS CIRC A4, Toronto ON",827 ,28 ,43.8264673,-79.277313
"4675 Steeles Ave E 2E1621, Toronto ON",0.005 ,3000,43.8239696,-79.302473
"1295 FINCH AVE W, Toronto ON",3456 ,25 ,43.7636675,-79.4887555
"323 DANFORTH AVE, Toronto ON",1200 ,5200,43.677034,-79.3534963
"900 ALBION RD C-30, Toronto ON",1400 ,16 ,43.7352957,-79.5597641
"4675 STEELES AVE E 2E18&19, Toronto ON",200 ,1100,None,None
"202 LAIRD DR, Toronto ON",2000 ,50 ,43.7106816,-79.3639577
"5631 STEELES AVE E 008, Toronto ON",825 ,1905.75,43.8324643,-79.2674026
"1747 ST CLAIR AVE W A, Toronto ON",1000 ,3250,None,None
"2479 Yonge St, Toronto ON",0.022 ,4500,43.711673,-79.3990598
"365A WILSON AVE #209, Toronto ON",1000 ,1250,43.7364779,-79.4371415
"122 DAVENPORT RD, Toronto ON",971 ,5200,43.6749762,-79.3930564
"5215 FINCH AVE E 161, Toronto ON",320 ,1400,43.8096132,-79.2570082
"3047 DUNDAS ST W, Toronto ON",4000 ,36 ,43.6654047,-79.4710144
"396 KING ST E, Toronto ON",1275 ,4000,43.6540571,-79.3611809
"2649 YONGE ST, Toronto ON",3600 ,50 ,43.7156225,-79.3999174
"635A BLOOR ST W 2, Toronto ON",700 ,1200,None,None
"2323 BLOOR ST W 104, Toronto ON",455 ,35 ,None,None
"1052 Kingston Rd, Toronto ON",0.031 ,30,43.6809832,-79.2843448
"36 HOWARD PARK AVE 144, Toronto ON",991 ,50 ,43.6521213,-79.4498609
"2761 MARKHAM RD D33, Toronto ON",99 ,1250,43.8213424,-79.2463043
"4675 Steeles Ave E 2E16&17, Toronto ON",0.005 ,1000,43.8239696,-79.302473
"6100 FINCH AVE W E105, Toronto ON",1565 ,35 ,None,None
"10 MALLARD RD C108, Toronto ON",636 ,1800,43.7482385,-79.3474798
"#2-3 -200 QUEENS QUAY E 2-3, Toronto ON",2398 ,5 ,43.6462692,-79.3631878
"955 Dovercourt Rd, Toronto ON",0.013 ,1900,43.6662437,-79.4310162
"U 1 2566 ST. CLAIR AVE W Unit 1, Toronto ON",1656 ,35 ,None,None
"327 Queen St E, Toronto ON",0.021 ,3314,43.6553145,-79.3653392
"746 BROADVIEW AVE, Toronto ON",1000 ,2200,43.6756604,-79.358634
"3355 KINGSTON RD, Toronto ON",1700 ,2500,43.7344755,-79.2210595
"1932 Queen St E, Toronto ON",0.02 ,2895,43.6695324,-79.3033725
"3176 EGLINTON AVE E, Toronto ON",1220 ,29,43.7432819,-79.2203539
"39 ORFUS RD H, Toronto ON",5349 ,20 ,43.7191248,-79.4592435
"15 RONCESVALLES AVE, Toronto ON",3287 ,16 ,43.6393684,-79.4459783
"595 SHEPPARD AVE E 103/104, Toronto ON",1909 ,55 ,43.7746994,-79.3481431
"440 DANFORTH AVE Main, Toronto ON",3000 ,48 ,None,None
"699 Coxwell Ave G02, Toronto ON",0.021 ,2700,43.6837703,-79.3235166
"2252 QUEEN ST E Main Fl, Toronto ON",1750 ,39.8 ,None,None
"172 Eglinton Ave E 2, Toronto ON",0.037 ,2000,43.708027,-79.3931798
"38 HOWARD PARK AVE 149, Toronto ON",1878 ,50 ,43.6518629,-79.4497602
"2000 JANE ST 1, Toronto ON",1800 ,65 ,43.714523,-79.5077563
"31 ELM ST, Toronto ON",6400 ,40 ,43.6574583,-79.3831522
"2323 BLOOR ST W 209, Toronto ON",893 ,35 ,None,None
"1546 DUPONT ST, Toronto ON",2716 ,35 ,43.6655841,-79.4526989
"41 LEBOVIC AVE A119, Toronto ON",753 ,2200,43.7233319,-79.2889364
"1194 WESTON RD W, Toronto ON",1500 ,2800,43.6875044,-79.4915448
"87 HARBORD ST B, Toronto ON",1098 ,2500,43.6626034,-79.4033401
"8 SATTERLY RD, Toronto ON",1000 ,1950,43.758899,-79.5701074
"275 DUNDAS ST W 43, Toronto ON",48 ,0.01,43.6541583,-79.3904907
"1149 Queen St W, Toronto ON",0.057 ,9695.42,43.6428519,-79.4244197
"3199 YONGE ST 101, Toronto ON",1200 ,5800,43.7277243,-79.4025697
"562 WILSON HEIGHTS BLVD, Toronto ON",1000 ,3000,43.7518911,-79.4570329
"3190 Yonge St Gr, Toronto ON",0.022 ,5000,43.7279055,-79.403237
"3891B DON MILLS RD, Toronto ON",1120 ,18,43.807902,-79.356595
"602 RICHMOND ST W, Toronto ON",1300 ,3950,43.6469092,-79.402676
"595 SHEPPARD AVE E 104, Toronto ON",884 ,55 ,43.7677078,-79.3836931
"3220 DUFFERIN ST 15, Toronto ON",1515 ,18 ,43.7188365,-79.4578332
"1 BROOKDALE AVE Store, Toronto ON",350 ,3000,43.7297767,-79.4038137
"4675 STEELES AVE E 2E16&17, Toronto ON",200 ,1000,None,None
"1571 SANDHURST CIRC 166, Toronto ON",552 ,105,43.8092547,-79.2696045
"275 DUNDAS ST W 22, Toronto ON",442 ,0.01,43.6541583,-79.3904907
"300 KING ST E, Toronto ON",10771 ,35 ,43.6522037,-79.3646318
"3150 Eglinton Ave E 14, Toronto ON",0.11 ,23,43.7428169,-79.2226648
"39 ORFUS RD G, Toronto ON",9302 ,16 ,43.7191248,-79.4592435
"1412 KENNEDY RD 1A, Toronto ON",1100 ,30 ,43.7633693,-79.2807902
"2574 YONGE ST, Toronto ON",5965 ,69 ,43.7139686,-79.4002472
"4417 SHEPPARD AVE, Toronto ON",1300 ,26 ,43.7872032,-79.2687529
"#C-102 -3276 MIDLAND AVE C-102, Toronto ON",469 ,2100,43.8052011,-79.2896409
"2314 BLOOR ST W, Toronto ON",2500 ,12000,43.6506483,-79.4799021
"208 CARLTON ST, Toronto ON",1000 ,2499,43.6640145,-79.3701351
"2415 ST CLAIR AVE W Main, Toronto ON",1400 ,2180,None,None
"398 COLLEGE ST, Toronto ON",2350 ,47 ,43.6570393,-79.4059643
"398 College St, Toronto ON",0.054 ,4500,43.6570393,-79.4059643
"1289 QUEEN ST W, Toronto ON",1500 ,40 ,43.6413038,-79.4320383
"461 Bloor St W, Toronto ON",0.02 ,5500,43.665958,-79.4065308
"1756 VICTORIA PARK AVE, Toronto ON",1500 ,3500,43.7364898,-79.3081194
"6100 FINCH AVE W E104, Toronto ON",1219 ,35 ,None,None
"3585 KEELE ST 8, Toronto ON",2000 ,6300,43.7507138,-79.4869983
"139 LOWER JARVIS ST, Toronto ON",1316 ,10000,43.6489772,-79.3710301
"985 O'CONNOR DR N, Toronto ON",1100 ,4000,43.7086641,-79.3102405
"68 ABELL ST 8 To 11, Toronto ON",2903 ,35 ,None,None
"180 QUEENS PLATE DR A14, Toronto ON",1459 ,22 ,43.7187694,-79.5945523
"1576 KINGSTON RD, Toronto ON",1748 ,2700,43.6904452,-79.2669104
"365A WILSON AVE #211, Toronto ON",150 ,475,43.7364779,-79.4371415
"1402 QUEEN ST W, Toronto, Ontario",2200 ,50 ,43.6411994,-79.4344013
"1575 LAWRENCE AVE W 205, Toronto ON",720 ,1500,43.7057987,-79.4885361
"2075 YONGE ST, Toronto ON",2480 ,65.8 ,43.7026783,-79.3971247
"2326 DANFORTH AVE, Toronto ON",1290 ,26 ,43.6871826,-79.3070536
"6230 FINCH AVE W A102, Toronto ON",1403 ,35 ,None,None
"3331 MARKHAM RD 108, Toronto ON",970 ,4700,43.8350954,-79.250357
"384 Yonge St 26, Toronto ON",0.008 ,1200,43.6592381,-79.382903
"3250 DUFFERIN ST 4C, Toronto ON",910 ,35 ,43.7200405,-79.4564275
"285 DUNDAS ST W Main, Toronto ON",1400 ,8000,43.6542451,-79.3909453
"99 FLORAL PKWY, Toronto ON",4200 ,12.5 ,43.7231527,-79.4728055
"1792 Weston Rd Main Fl, Toronto ON",0.025 ,3500,43.6986856,-79.5128407
"1466 BATHURST ST 108, Toronto ON",1028 ,0.01,43.6827712,-79.4183088
"595 SHEPPARD AVE E 103, Toronto ON",1025 ,55 ,43.7677078,-79.3836931
"1425 Gerrard St E, Toronto ON",0.018 ,2099,43.672043,-79.3223496
"2245 KENNEDY RD E 5, Toronto ON",1608.76 ,19 ,43.7826533,-79.2872632
"200 QUEENS QUAY E 2-2, Toronto ON",2542 ,5 ,43.6463782,-79.3626153
"289 HORNER AVE B, Toronto ON",4662 ,12 ,43.6062747,-79.5238576
"817 DUNDAS ST W Main, Toronto ON",720 ,2600,43.6515517,-79.4087347
"5629 YONGE AVE, Toronto ON",169 ,3980,43.7805006,-79.4154526
"371 OLD KINGSTON RD 2, Toronto ON",500 ,2000,43.7834364,-79.169776
